,vocabs,frequency
0,foral,1
1,insurance,3
2,informally,1
3,insured,1
4,experimental,4
5,evidence,39
6,kenya,3
7,culture,6
8,religion,1
9,influence,15
10,agriculture,9
11,technology,6
12,gap,3
13,northern,14
14,ghana,10
15,enabling,1
16,environment,15
17,household,8
18,solar,2
19,adoption,3
20,systematic,9
21,review,17
22,behaviour,2
23,agricultural,3
24,practices,10
25,experiences,8
26,smallholder,4
27,farmers,6
28,west,8
29,bengal,1
30,india,20
31,multidimensional,2
32,poverty,6
33,pastoralists,1
34,implications,14
35,policy,22
36,boorana,1
37,rangeland,2
38,system,19
39,southern,10
40,ethiopia,2
41,conservation,9
42,tillage,2
43,systems,12
44,bangladesh,7
45,determining,4
46,critical,10
47,factors,19
48,gender,4
49,inequality,3
50,oecd,1
51,countries,4
52,empowering,1
53,rural,14
54,women,13
55,sustainable,10
56,development,28
57,provision,2
58,water,11
59,infrastructure,8
60,differences,5
61,myanmar,2
62,labor,3
63,force,1
64,moving,1
65,toward,3
66,rice,3
67,africa,17
68,lessons,7
69,learned,2
70,years,10
71,coalition,1
72,african,5
73,microcredit,2
74,expansion,3
75,informal,2
76,donor,1
77,interests,2
78,local,22
79,ngos,1
80,sundarbans,1
81,mangrove,1
82,forest,39
83,relationship,7
84,community,9
85,capitals,1
86,governance,14
87,perspective,13
88,actors,2
89,maya,1
90,biosphere,1
91,reserve,1
92,food,7
93,education,3
94,child,4
95,nutrition,2
96,program,7
97,mgd,1
98,comparative,6
99,analysis,47
100,reading,2
101,comprehension,1
102,gains,1
103,central,17
104,america,6
105,management,22
106,fisheries,4
107,sierra,2
108,leone,1
109,answer,1
110,problems,3
111,roles,2
112,vegetable,1
113,production,7
114,marketing,2
115,income,4
116,utilization,1
117,nepal,5
118,hills,3
119,communities,12
120,intergenerational,1
121,mobility,14
122,association,7
123,presence,3
124,sanitation,2
125,facilities,5
126,school,3
127,enrolment,1
128,pakistan,2
129,burdens,1
130,benefits,6
131,impacts,20
132,mobile,6
133,phone,2
134,ownership,2
135,tanzania,3
136,success,3
137,combating,1
138,pandemic,14
139,role,19
140,fast,1
141,responses,6
142,climate,61
143,induced,2
144,vulnerability,6
145,among,17
146,malawi,3
147,adapting,1
148,drought,12
149,extreme,19
150,hunger,2
151,safety,1
152,net,1
153,programme,2
154,designing,1
155,financial,3
156,services,15
157,learning,7
158,diaries,1
159,urban,122
160,poor,1
161,aid,2
162,towards,15
163,building,2
164,physical,11
165,capital,7
166,empirical,6
