,vocabs,frequency
0,foral insurance informally,1
1,insurance informally insured,1
2,informally insured experimental,1
3,insured experimental evidence,1
4,experimental evidence kenya,1
5,evidence kenya culture,1
6,kenya culture religion,1
7,culture religion influence,1
8,religion influence agriculture,1
9,influence agriculture technology,1
10,agriculture technology gap,1
11,technology gap northern,1
12,gap northern ghana,1
13,northern ghana enabling,1
14,ghana enabling environment,1
15,enabling environment household,1
16,environment household solar,1
17,household solar adoption,1
18,solar adoption systematic,1
19,adoption systematic review,1
20,systematic review household,1
21,review household behaviour,1
22,household behaviour agricultural,1
23,behaviour agricultural practices,1
24,agricultural practices experiences,1
25,practices experiences smallholder,1
26,experiences smallholder farmers,1
27,smallholder farmers northern,1
28,farmers northern west,1
29,northern west bengal,1
30,west bengal india,1
31,bengal india multidimensional,1
32,india multidimensional poverty,1
33,multidimensional poverty pastoralists,1
34,poverty pastoralists implications,1
35,pastoralists implications policy,1
36,implications policy boorana,1
37,policy boorana rangeland,1
38,boorana rangeland system,1
39,rangeland system southern,1
40,system southern ethiopia,1
41,southern ethiopia adoption,1
42,ethiopia adoption conservation,1
43,adoption conservation tillage,1
44,conservation tillage practices,1
45,tillage practices systems,1
46,practices systems bangladesh,1
47,systems bangladesh determining,1
48,bangladesh determining critical,1
49,determining critical factors,1
50,critical factors gender,1
51,factors gender inequality,1
52,gender inequality evidence,1
53,inequality evidence oecd,1
54,evidence oecd countries,1
55,oecd countries empowering,1
56,countries empowering rural,1
57,empowering rural women,1
58,rural women sustainable,1
59,women sustainable development,1
60,sustainable development provision,1
61,development provision water,1
62,provision water infrastructure,1
63,water infrastructure ghana,1
64,infrastructure ghana differences,1
65,ghana differences myanmar,1
66,differences myanmar labor,1
67,myanmar labor force,1
68,labor force moving,1
69,force moving toward,1
70,moving toward rice,1
71,toward rice africa,1
72,rice africa lessons,1
73,africa lessons learned,1
74,lessons learned years,1
75,learned years coalition,1
76,years coalition african,1
77,coalition african rice,1
78,african rice development,1
79,rice development microcredit,1
80,development microcredit expansion,1
81,microcredit expansion informal,1
82,expansion informal donor,1
83,informal donor interests,1
84,donor interests experiences,1
85,interests experiences local,1
86,experiences local ngos,1
87,local ngos sundarbans,1
88,ngos sundarbans mangrove,1
89,sundarbans mangrove forest,1
90,mangrove forest bangladesh,1
91,forest bangladesh relationship,1
92,bangladesh relationship community,1
93,relationship community capitals,1
94,community capitals governance,1
95,capitals governance perspective,1
96,governance perspective local,1
97,perspective local actors,1
98,local actors maya,1
