,vocabs,frequency
0,foral insurance,1
1,insurance informally,1
2,informally insured,1
3,insured experimental,1
4,experimental evidence,2
5,evidence kenya,1
6,kenya culture,1
7,culture religion,1
8,religion influence,1
9,influence agriculture,1
10,agriculture technology,2
11,technology gap,1
12,gap northern,1
13,northern ghana,2
14,ghana enabling,1
15,enabling environment,1
16,environment household,1
17,household solar,1
18,solar adoption,1
19,adoption systematic,1
20,systematic review,7
21,review household,1
22,household behaviour,1
23,behaviour agricultural,1
24,agricultural practices,1
25,practices experiences,1
26,experiences smallholder,1
27,smallholder farmers,2
28,farmers northern,1
29,northern west,1
30,west bengal,1
31,bengal india,1
32,india multidimensional,1
33,multidimensional poverty,2
34,poverty pastoralists,1
35,pastoralists implications,1
36,implications policy,2
37,policy boorana,1
38,boorana rangeland,1
39,rangeland system,1
40,system southern,1
41,southern ethiopia,1
42,ethiopia adoption,1
43,adoption conservation,1
44,conservation tillage,1
45,tillage practices,1
46,practices systems,1
47,systems bangladesh,1
48,bangladesh determining,1
49,determining critical,1
50,critical factors,1
51,factors gender,1
52,gender inequality,1
53,inequality evidence,1
54,evidence oecd,1
55,oecd countries,1
56,countries empowering,1
57,empowering rural,1
58,rural women,1
59,women sustainable,1
60,sustainable development,4
61,development provision,1
62,provision water,1
63,water infrastructure,1
64,infrastructure ghana,1
65,ghana differences,1
66,differences myanmar,1
67,myanmar labor,1
68,labor force,1
69,force moving,1
70,moving toward,1
71,toward rice,1
72,rice africa,1
73,africa lessons,1
74,lessons learned,1
75,learned years,1
76,years coalition,1
77,coalition african,1
78,african rice,1
79,rice development,1
80,development microcredit,1
81,microcredit expansion,1
82,expansion informal,1
83,informal donor,1
84,donor interests,1
85,interests experiences,1
86,experiences local,1
87,local ngos,1
88,ngos sundarbans,1
89,sundarbans mangrove,1
90,mangrove forest,1
91,forest bangladesh,1
92,bangladesh relationship,1
93,relationship community,1
94,community capitals,1
95,capitals governance,1
96,governance perspective,1
97,perspective local,1
98,local actors,1
99,actors maya,1
100,maya biosphere,1
101,biosphere reserve,1
102,reserve food,1
103,food education,1
104,education child,1
105,child nutrition,1
106,nutrition program,1
107,program mgd,1
108,mgd comparative,1
109,comparative analysis,2
110,analysis reading,1
111,reading comprehension,1
112,comprehension gains,1
113,gains central,1
114,central america,1
115,america management,1
116,management fisheries,1
117,fisheries sierra,1
118,sierra leone,1
119,leone answer,1
120,answer problems,1
121,problems women,1
122,women roles,1
123,roles vegetable,1
124,vegetable production,1
125,production marketing,1
126,marketing income,1
127,income utilization,1
128,utilization nepal,1
129,nepal hills,1
130,hills communities,1
131,communities gender,1
132,gender gap,1
133,gap intergenerational,1
134,intergenerational mobility,1
135,mobility association,1
136,association presence,1
137,presence sanitation,1
138,sanitation facilities,1
139,facilities school,1
140,school enrolment,1
141,enrolment pakistan,1
142,pakistan burdens,1
143,burdens benefits,1
144,benefits impacts,1
145,impacts mobile,1
146,mobile phone,2
147,phone ownership,1
148,ownership tanzania,1
149,tanzania success,1
150,success combating,1
151,combating pandemic,1
152,pandemic role,1
153,role fast,1
154,fast policy,1
155,policy responses,1
156,responses climate,1
157,climate induced,1
158,induced vulnerability,1
159,vulnerability poverty,1
160,poverty among,1
161,among smallholder,1
162,farmers evidence,1
163,evidence malawi,2
164,malawi adapting,1
165,adapting drought,1
166,drought extreme,1
167,extreme climate,2
168,climate hunger,1
169,hunger safety,1
170,safety net,1
171,net programme,1
172,programme kenya,1
173,kenya designing,1
174,designing mobile,1
175,mobile financial,1
176,financial services,1
177,services learning,1
178,learning financial,1
179,financial diaries,1
180,diaries urban,1
181,urban poor,1
182,poor india,1
183,india aid,1
184,aid africa,1
185,africa agriculture,1
186,agriculture towards,1
187,towards building,1
188,building physical,1
189,physical capital,1
